16757
 LATTICE COORDINATES
    1  0.0000  0.0000  0.0000
 NEAREST NEIGHBOUR MAP
      ATOM   TYPE  CONNECTIVITY     NEIGHBOURS
    1   1  19   7617 7645 7646 7673 7674 7675 8351 8352 8379 8380 8407 8408 9084 9085 9086
                              9113 9114 9142
16757   19
  321
  0.0000  0.0000  0.0000
  1.9200 -5.7600 -7.6800
  3.8400 -3.8400 -7.6800
  5.7600 -1.9200 -7.6800
  1.9200 -7.6800 -5.7600
  3.8400 -5.7600 -5.7600
  5.7600 -3.8400 -5.7600
  7.6800 -1.9200 -5.7600
  3.8400 -7.6800 -3.8400
  5.7600 -5.7600 -3.8400
  7.6800 -3.8400 -3.8400
  5.7600 -7.6800 -1.9200
  7.6800 -5.7600 -1.9200
  0.0000 -1.9200 -9.6000
  1.9200  0.0000 -9.6000
 -1.9200 -5.7600 -7.6800
  0.0000 -3.8400 -7.6800
  1.9200 -1.9200 -7.6800
  3.8400  0.0000 -7.6800
  5.7600  1.9200 -7.6800
 -1.9200 -7.6800 -5.7600
  0.0000 -5.7600 -5.7600
  1.9200 -3.8400 -5.7600
  3.8400 -1.9200 -5.7600
  5.7600  0.0000 -5.7600
  7.6800  1.9200 -5.7600
  0.0000 -7.6800 -3.8400
  1.9200 -5.7600 -3.8400
  3.8400 -3.8400 -3.8400
  5.7600 -1.9200 -3.8400
  7.6800  0.0000 -3.8400
  0.0000 -9.6000 -1.9200
  1.9200 -7.6800 -1.9200
  3.8400 -5.7600 -1.9200
  5.7600 -3.8400 -1.9200
  7.6800 -1.9200 -1.9200
  9.6000  0.0000 -1.9200
  1.9200 -9.6000  0.0000
  3.8400 -7.6800  0.0000
  5.7600 -5.7600  0.0000
  7.6800 -3.8400  0.0000
  9.6000 -1.9200  0.0000
  5.7600 -7.6800  1.9200
  7.6800 -5.7600  1.9200
 -1.9200  0.0000 -9.6000
  0.0000  1.9200 -9.6000
 -3.8400 -3.8400 -7.6800
 -1.9200 -1.9200 -7.6800
  0.0000  0.0000 -7.6800
  1.9200  1.9200 -7.6800
  3.8400  3.8400 -7.6800
 -3.8400 -5.7600 -5.7600
 -1.9200 -3.8400 -5.7600
  0.0000 -1.9200 -5.7600
  1.9200  0.0000 -5.7600
  3.8400  1.9200 -5.7600
  5.7600  3.8400 -5.7600
 -3.8400 -7.6800 -3.8400
 -1.9200 -5.7600 -3.8400
  0.0000 -3.8400 -3.8400
  1.9200 -1.9200 -3.8400
  3.8400  0.0000 -3.8400
  5.7600  1.9200 -3.8400
  7.6800  3.8400 -3.8400
 -1.9200 -7.6800 -1.9200
  0.0000 -5.7600 -1.9200
  1.9200 -3.8400 -1.9200
  3.8400 -1.9200 -1.9200
  5.7600  0.0000 -1.9200
  7.6800  1.9200 -1.9200
 -1.9200 -9.6000  0.0000
  0.0000 -7.6800  0.0000
  1.9200 -5.7600  0.0000
  3.8400 -3.8400  0.0000
  5.7600 -1.9200  0.0000
  7.6800  0.0000  0.0000
  9.6000  1.9200  0.0000
  0.0000 -9.6000  1.9200
  1.9200 -7.6800  1.9200
  3.8400 -5.7600  1.9200
  5.7600 -3.8400  1.9200
  7.6800 -1.9200  1.9200
  9.6000  0.0000  1.9200
  3.8400 -7.6800  3.8400
  5.7600 -5.7600  3.8400
  7.6800 -3.8400  3.8400
 -5.7600 -1.9200 -7.6800
 -3.8400  0.0000 -7.6800
 -1.9200  1.9200 -7.6800
  0.0000  3.8400 -7.6800
  1.9200  5.7600 -7.6800
 -5.7600 -3.8400 -5.7600
 -3.8400 -1.9200 -5.7600
 -1.9200  0.0000 -5.7600
  0.0000  1.9200 -5.7600
  1.9200  3.8400 -5.7600
  3.8400  5.7600 -5.7600
 -5.7600 -5.7600 -3.8400
 -3.8400 -3.8400 -3.8400
 -1.9200 -1.9200 -3.8400
  0.0000  0.0000 -3.8400
  1.9200  1.9200 -3.8400
  3.8400  3.8400 -3.8400
  5.7600  5.7600 -3.8400
 -5.7600 -7.6800 -1.9200
 -3.8400 -5.7600 -1.9200
 -1.9200 -3.8400 -1.9200
  0.0000 -1.9200 -1.9200
  1.9200  0.0000 -1.9200
  3.8400  1.9200 -1.9200
  5.7600  3.8400 -1.9200
  7.6800  5.7600 -1.9200
 -3.8400 -7.6800  0.0000
 -1.9200 -5.7600  0.0000
  0.0000 -3.8400  0.0000
  1.9200 -1.9200  0.0000
  3.8400  0.0000  0.0000
  5.7600  1.9200  0.0000
  7.6800  3.8400  0.0000
 -1.9200 -7.6800  1.9200
  0.0000 -5.7600  1.9200
  1.9200 -3.8400  1.9200
  3.8400 -1.9200  1.9200
  5.7600  0.0000  1.9200
  7.6800  1.9200  1.9200
  0.0000 -7.6800  3.8400
  1.9200 -5.7600  3.8400
  3.8400 -3.8400  3.8400
  5.7600 -1.9200  3.8400
  7.6800  0.0000  3.8400
  1.9200 -7.6800  5.7600
  3.8400 -5.7600  5.7600
  5.7600 -3.8400  5.7600
  7.6800 -1.9200  5.7600
 -5.7600  1.9200 -7.6800
 -3.8400  3.8400 -7.6800
 -1.9200  5.7600 -7.6800
 -7.6800 -1.9200 -5.7600
 -5.7600  0.0000 -5.7600
 -3.8400  1.9200 -5.7600
 -1.9200  3.8400 -5.7600
  0.0000  5.7600 -5.7600
  1.9200  7.6800 -5.7600
 -7.6800 -3.8400 -3.8400
 -5.7600 -1.9200 -3.8400
 -3.8400  0.0000 -3.8400
 -1.9200  1.9200 -3.8400
  0.0000  3.8400 -3.8400
  1.9200  5.7600 -3.8400
  3.8400  7.6800 -3.8400
 -7.6800 -5.7600 -1.9200
 -5.7600 -3.8400 -1.9200
 -3.8400 -1.9200 -1.9200
 -1.9200  0.0000 -1.9200
  0.0000  1.9200 -1.9200
  1.9200  3.8400 -1.9200
  3.8400  5.7600 -1.9200
  5.7600  7.6800 -1.9200
 -5.7600 -5.7600  0.0000
 -3.8400 -3.8400  0.0000
 -1.9200 -1.9200  0.0000
  1.9200  1.9200  0.0000
  3.8400  3.8400  0.0000
  5.7600  5.7600  0.0000
 -5.7600 -7.6800  1.9200
 -3.8400 -5.7600  1.9200
 -1.9200 -3.8400  1.9200
  0.0000 -1.9200  1.9200
  1.9200  0.0000  1.9200
  3.8400  1.9200  1.9200
  5.7600  3.8400  1.9200
  7.6800  5.7600  1.9200
 -3.8400 -7.6800  3.8400
 -1.9200 -5.7600  3.8400
  0.0000 -3.8400  3.8400
  1.9200 -1.9200  3.8400
  3.8400  0.0000  3.8400
  5.7600  1.9200  3.8400
  7.6800  3.8400  3.8400
 -1.9200 -7.6800  5.7600
  0.0000 -5.7600  5.7600
  1.9200 -3.8400  5.7600
  3.8400 -1.9200  5.7600
  5.7600  0.0000  5.7600
  7.6800  1.9200  5.7600
  1.9200 -5.7600  7.6800
  3.8400 -3.8400  7.6800
  5.7600 -1.9200  7.6800
 -7.6800  1.9200 -5.7600
 -5.7600  3.8400 -5.7600
 -3.8400  5.7600 -5.7600
 -1.9200  7.6800 -5.7600
 -7.6800  0.0000 -3.8400
 -5.7600  1.9200 -3.8400
 -3.8400  3.8400 -3.8400
 -1.9200  5.7600 -3.8400
  0.0000  7.6800 -3.8400
 -7.6800 -1.9200 -1.9200
 -5.7600  0.0000 -1.9200
 -3.8400  1.9200 -1.9200
 -1.9200  3.8400 -1.9200
  0.0000  5.7600 -1.9200
  1.9200  7.6800 -1.9200
 -7.6800 -3.8400  0.0000
 -5.7600 -1.9200  0.0000
