16757
 LATTICE COORDINATES
    1  0.0000  0.0000  0.0000
 NEAREST NEIGHBOUR MAP
      ATOM   TYPE  CONNECTIVITY     NEIGHBOURS
    1   1  19   7617 7645 7646 7673 7674 7675 8351 8352 8379 8380 8407 8408 9084 9085 9086
                              9113 9114 9142
16757   19
  249
  0.0000  0.0000  0.0000
  3.9200 -3.9200 -7.8400
  3.9200 -5.8800 -5.8800
  5.8800 -3.9200 -5.8800
  3.9200 -7.8400 -3.9200
  5.8800 -5.8800 -3.9200
  7.8400 -3.9200 -3.9200
  0.0000 -3.9200 -7.8400
  1.9600 -1.9600 -7.8400
  3.9200  0.0000 -7.8400
  0.0000 -5.8800 -5.8800
  1.9600 -3.9200 -5.8800
  3.9200 -1.9600 -5.8800
  5.8800  0.0000 -5.8800
  0.0000 -7.8400 -3.9200
  1.9600 -5.8800 -3.9200
  3.9200 -3.9200 -3.9200
  5.8800 -1.9600 -3.9200
  7.8400  0.0000 -3.9200
  1.9600 -7.8400 -1.9600
  3.9200 -5.8800 -1.9600
  5.8800 -3.9200 -1.9600
  7.8400 -1.9600 -1.9600
  3.9200 -7.8400  0.0000
  5.8800 -5.8800  0.0000
  7.8400 -3.9200  0.0000
 -3.9200 -3.9200 -7.8400
 -1.9600 -1.9600 -7.8400
  0.0000  0.0000 -7.8400
  1.9600  1.9600 -7.8400
  3.9200  3.9200 -7.8400
 -3.9200 -5.8800 -5.8800
 -1.9600 -3.9200 -5.8800
  0.0000 -1.9600 -5.8800
  1.9600  0.0000 -5.8800
  3.9200  1.9600 -5.8800
  5.8800  3.9200 -5.8800
 -3.9200 -7.8400 -3.9200
 -1.9600 -5.8800 -3.9200
  0.0000 -3.9200 -3.9200
  1.9600 -1.9600 -3.9200
  3.9200  0.0000 -3.9200
  5.8800  1.9600 -3.9200
  7.8400  3.9200 -3.9200
 -1.9600 -7.8400 -1.9600
  0.0000 -5.8800 -1.9600
  1.9600 -3.9200 -1.9600
  3.9200 -1.9600 -1.9600
  5.8800  0.0000 -1.9600
  7.8400  1.9600 -1.9600
  0.0000 -7.8400  0.0000
  1.9600 -5.8800  0.0000
  3.9200 -3.9200  0.0000
  5.8800 -1.9600  0.0000
  7.8400  0.0000  0.0000
  1.9600 -7.8400  1.9600
  3.9200 -5.8800  1.9600
  5.8800 -3.9200  1.9600
  7.8400 -1.9600  1.9600
  3.9200 -7.8400  3.9200
  5.8800 -5.8800  3.9200
  7.8400 -3.9200  3.9200
 -3.9200  0.0000 -7.8400
 -1.9600  1.9600 -7.8400
  0.0000  3.9200 -7.8400
 -5.8800 -3.9200 -5.8800
 -3.9200 -1.9600 -5.8800
 -1.9600  0.0000 -5.8800
  0.0000  1.9600 -5.8800
  1.9600  3.9200 -5.8800
  3.9200  5.8800 -5.8800
 -5.8800 -5.8800 -3.9200
 -3.9200 -3.9200 -3.9200
 -1.9600 -1.9600 -3.9200
  0.0000  0.0000 -3.9200
  1.9600  1.9600 -3.9200
  3.9200  3.9200 -3.9200
  5.8800  5.8800 -3.9200
 -3.9200 -5.8800 -1.9600
 -1.9600 -3.9200 -1.9600
  0.0000 -1.9600 -1.9600
  1.9600  0.0000 -1.9600
  3.9200  1.9600 -1.9600
  5.8800  3.9200 -1.9600
 -3.9200 -7.8400  0.0000
 -1.9600 -5.8800  0.0000
  0.0000 -3.9200  0.0000
  1.9600 -1.9600  0.0000
  3.9200  0.0000  0.0000
  5.8800  1.9600  0.0000
  7.8400  3.9200  0.0000
 -1.9600 -7.8400  1.9600
  0.0000 -5.8800  1.9600
  1.9600 -3.9200  1.9600
  3.9200 -1.9600  1.9600
  5.8800  0.0000  1.9600
  7.8400  1.9600  1.9600
  0.0000 -7.8400  3.9200
  1.9600 -5.8800  3.9200
  3.9200 -3.9200  3.9200
  5.8800 -1.9600  3.9200
  7.8400  0.0000  3.9200
  3.9200 -5.8800  5.8800
  5.8800 -3.9200  5.8800
 -3.9200  3.9200 -7.8400
 -5.8800  0.0000 -5.8800
 -3.9200  1.9600 -5.8800
 -1.9600  3.9200 -5.8800
  0.0000  5.8800 -5.8800
 -7.8400 -3.9200 -3.9200
 -5.8800 -1.9600 -3.9200
 -3.9200  0.0000 -3.9200
 -1.9600  1.9600 -3.9200
  0.0000  3.9200 -3.9200
  1.9600  5.8800 -3.9200
  3.9200  7.8400 -3.9200
 -5.8800 -3.9200 -1.9600
 -3.9200 -1.9600 -1.9600
 -1.9600  0.0000 -1.9600
  0.0000  1.9600 -1.9600
  1.9600  3.9200 -1.9600
  3.9200  5.8800 -1.9600
 -5.8800 -5.8800  0.0000
 -3.9200 -3.9200  0.0000
 -1.9600 -1.9600  0.0000
  1.9600  1.9600  0.0000
  3.9200  3.9200  0.0000
  5.8800  5.8800  0.0000
 -3.9200 -5.8800  1.9600
 -1.9600 -3.9200  1.9600
  0.0000 -1.9600  1.9600
  1.9600  0.0000  1.9600
  3.9200  1.9600  1.9600
  5.8800  3.9200  1.9600
 -3.9200 -7.8400  3.9200
 -1.9600 -5.8800  3.9200
  0.0000 -3.9200  3.9200
  1.9600 -1.9600  3.9200
  3.9200  0.0000  3.9200
  5.8800  1.9600  3.9200
  7.8400  3.9200  3.9200
  0.0000 -5.8800  5.8800
  1.9600 -3.9200  5.8800
  3.9200 -1.9600  5.8800
  5.8800  0.0000  5.8800
  3.9200 -3.9200  7.8400
 -5.8800  3.9200 -5.8800
 -3.9200  5.8800 -5.8800
 -7.8400  0.0000 -3.9200
 -5.8800  1.9600 -3.9200
 -3.9200  3.9200 -3.9200
 -1.9600  5.8800 -3.9200
  0.0000  7.8400 -3.9200
 -7.8400 -1.9600 -1.9600
 -5.8800  0.0000 -1.9600
 -3.9200  1.9600 -1.9600
 -1.9600  3.9200 -1.9600
  0.0000  5.8800 -1.9600
  1.9600  7.8400 -1.9600
 -7.8400 -3.9200  0.0000
 -5.8800 -1.9600  0.0000
 -3.9200  0.0000  0.0000
 -1.9600  1.9600  0.0000
  0.0000  3.9200  0.0000
  1.9600  5.8800  0.0000
  3.9200  7.8400  0.0000
 -5.8800 -3.9200  1.9600
 -3.9200 -1.9600  1.9600
 -1.9600  0.0000  1.9600
  0.0000  1.9600  1.9600
  1.9600  3.9200  1.9600
  3.9200  5.8800  1.9600
 -5.8800 -5.8800  3.9200
 -3.9200 -3.9200  3.9200
 -1.9600 -1.9600  3.9200
  0.0000  0.0000  3.9200
  1.9600  1.9600  3.9200
  3.9200  3.9200  3.9200
  5.8800  5.8800  3.9200
 -3.9200 -5.8800  5.8800
 -1.9600 -3.9200  5.8800
  0.0000 -1.9600  5.8800
  1.9600  0.0000  5.8800
  3.9200  1.9600  5.8800
  5.8800  3.9200  5.8800
  0.0000 -3.9200  7.8400
  1.9600 -1.9600  7.8400
  3.9200  0.0000  7.8400
 -7.8400  3.9200 -3.9200
 -5.8800  5.8800 -3.9200
 -3.9200  7.8400 -3.9200
 -7.8400  1.9600 -1.9600
 -5.8800  3.9200 -1.9600
 -3.9200  5.8800 -1.9600
 -1.9600  7.8400 -1.9600
 -7.8400  0.0000  0.0000
 -5.8800  1.9600  0.0000
 -3.9200  3.9200  0.0000
 -1.9600  5.8800  0.0000
  0.0000  7.8400  0.0000
 -7.8400 -1.9600  1.9600
 -5.8800  0.0000  1.9600
 -3.9200  1.9600  1.9600
 -1.9600  3.9200  1.9600
  0.0000  5.8800  1.9600
  1.9600  7.8400  1.9600
